NAME,TEAM,OPP,GAME_ID,PLAYER_ID_AVG,GP,W,L,W_PCT,MIN_AVG,FGM_AVG,FGA_AVG,FG_PCT_AVG,FG3M_AVG,FG3A_AVG,FG3_PCT_AVG,FTM_AVG,FTA_AVG,FT_PCT_AVG,OREB_AVG,DREB_AVG,REB_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,BLKA,PF_AVG,PFD,PTS_AVG,PLUS_MINUS_AVG,DD2,TD3,GAME_ID_AVG,AWAYORHOME,STATUS,PLAYER_ID,JERSEYNUM,POSITION,STARTER,ONCOURT,PLAYED,NOTPLAYINGREASON,NOTPLAYINGDESCRIPTION,AST,BLK,BLKR,FGA,FGM,FG_PCT,PF_OFF,FOULSDRAWN,PF,PF_TECH,FTA,FTM,FT_PCT,MINUS,MIN,PLUS,PLUS_MINUS,PTS,PTS_FASTBREAK,PTS_PAINT,PTS_2NDCHANCE,DREB,OREB,REB,STL,FG3A,FG3M,FG3_PCT,TOV,FG2A,FG2M,FG2_PCT,DATE_UPDATED_EST,SET_EASY,TIER_EASY,SERIES_EASY,PLAY_EASY,DATE_MOMENT,TEAM_TS,COUNT_EASY,OWNED,UNIQUE_OWNERS,IN_PACKS,MINTED,TS_HELD,CS,LOW_ASK_EASY,4HCHANGE_EASY,24H,7D,LISTINGS,TSD,ROOKIE_PREMIERE,ROOKIE_MINT,ROOKIE_YEAR,EDITION_STATE,PLAY_ID,SET_ID,TS_LINK,SET_HARD,TIER_HARD,SERIES_HARD,PLAY_HARD,COUNT_HARD,LOW_ASK_HARD,4HCHANGE_HARD,AWAY_TEAM,AWAY_ID,HOME_TEAM,HOME_ID,PERIOD,GAME_CLOCK,AWAY_SCORE,HOME_SCORE,START_TIME,GAME_STATUS,EASY_MOMENT,HARD_MOMENT,SCORE,DIFFERENTIAL,FTM_PROJ
Jeff Dowtin,MIL,CLE,0022100722,1630288,1,1,0,1.0,2.966666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-4,0,0,0022100722,away,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MIL,1610612749,CLE,1610612739,4,,99,115,2022-01-26 19:00:00-05:00,Final,nan,nan,115-99,16,0
Jordan Nwora,MIL,CLE,0022100722,1629670,38,20,18,0.526,20.16697368421053,3.263157894736842,7.973684210526316,0.409,1.5,4.078947368421052,0.368,0.42105263157894735,0.5526315789473685,0.762,0.6578947368421053,3.3421052631578947,4.0,1.0263157894736843,1.0263157894736843,0.5263157894736842,0.34210526315789475,0.3157894736842105,1.2105263157894737,0,8.447368421052632,-63,2,0,0022100722,away,ACTIVE,1629670.0,13,nan,Bench,-,1,nan,nan,1,0,0,5,1,0.2,0,2.0,1,0,2,2,1.0,36,15.066666666666666,25,-11,4,2,2,0,2,0,2,1,3,0,0.0,1,2,1,0.5,2022-01-27 03:31,Base Set,Common,3,Block,2021-10-19 23:30:00+00:00,Milwaukee Bucks,60000,36157.0,0.0,11906.0,14511.0,0.0,2.0,3,0.0,50.0,50.0,2320.0,nan,nan,nan,nan,VISIBLE,9bb320fc-68d7-440d-9cf2-1dd43d3e7a9f,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+9bb320fc-68d7-440d-9cf2-1dd43d3e7a9f,Base Set,Common,2,3 Pointer,4000,194,0.0,MIL,1610612749,CLE,1610612739,4,,99,115,2022-01-26 19:00:00-05:00,Final,Base Set-Common-3-Block,Base Set-Common-2-3 Pointer,115-99,16,2
Jrue Holiday,MIL,CLE,0022100722,201950,37,26,11,0.703,32.59599099099099,7.135135135135135,14.594594594594595,0.489,1.7297297297297298,4.54054054054054,0.381,1.7837837837837838,2.4054054054054053,0.742,0.972972972972973,3.7027027027027026,4.675675675675675,6.4324324324324325,2.6486486486486487,1.4864864864864864,0.5675675675675675,0.918918918918919,1.837837837837838,2,17.783783783783782,245,5,0,0022100722,away,ACTIVE,201950.0,21,PG,Starter,-,1,nan,nan,7,1,2,9,2,0.222222222222222,0,2.0,3,0,0,0,0.0,81,31.682,75,-6,4,2,4,0,4,2,6,0,2,0,0.0,2,7,2,0.28571428571428603,2022-01-27 03:11,Base Set,Common,2,Layup,2020-12-24 00:30:00+00:00,Milwaukee Bucks,35000,31879.0,0.0,2530.0,597.0,0.0,12.0,6,0.0,0.0,0.0,2059.0,False,False,False,False,VISIBLE,c9ddea3c-b0c5-4733-aa77-35c7b283e802,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+c9ddea3c-b0c5-4733-aa77-35c7b283e802,Base Set,Common,1,Assist,3342,95,0.0,MIL,1610612749,CLE,1610612739,4,,99,115,2022-01-26 19:00:00-05:00,Final,Base Set-Common-2-Layup,Base Set-Common-1-Assist,115-99,16,0
Justin Robinson,MIL,CLE,0022100722,1629620,17,10,7,0.588,11.630490196078432,1.0588235294117647,3.3529411764705883,0.316,0.5882352941176471,2.176470588235294,0.27,0.11764705882352941,0.11764705882352941,1.0,0.11764705882352941,0.6470588235294118,0.7647058823529411,1.2352941176470589,0.6470588235294118,0.47058823529411764,0.0,0.0,1.0,0,2.823529411764706,-51,0,0,0022100722,away,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MIL,1610612749,CLE,1610612739,4,,99,115,2022-01-26 19:00:00-05:00,Final,nan,nan,115-99,16,0
Khris Middleton,MIL,CLE,0022100722,203114,38,25,13,0.658,32.04039473684211,6.7368421052631575,15.157894736842104,0.444,2.4473684210526314,6.2368421052631575,0.392,4.157894736842105,4.684210526315789,0.888,0.631578947368421,5.0,5.631578947368421,5.2894736842105265,3.1578947368421053,1.131578947368421,0.3157894736842105,0.5,2.3947368421052633,3,20.07894736842105,155,3,0,0022100722,away,ACTIVE,203114.0,22,SF,Starter,-,1,nan,nan,4,0,0,15,8,0.533333333333333,0,4.0,4,0,2,2,1.0,88,35.36666666666667,81,-7,21,2,6,0,3,1,4,1,7,3,0.428571428571429,3,8,5,0.625,2022-01-27 03:09,Base Set,Common,2,Assist,2021-01-12 00:00:00+00:00,Milwaukee Bucks,40000,36624.0,0.0,2358.0,1022.0,0.0,12.0,7,0.0,0.0,0.0,1203.0,False,False,False,False,VISIBLE,e44cce40-0893-4953-84d0-c11c4454b948,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+e44cce40-0893-4953-84d0-c11c4454b948,Base Set,Common,1,Dunk,1000,233,-2.92,MIL,1610612749,CLE,1610612739,4,,99,115,2022-01-26 19:00:00-05:00,Final,Base Set-Common-2-Assist,Base Set-Common-1-Dunk,115-99,16,2
Langston Galloway,MIL,CLE,0022100722,204038,3,1,2,0.333,16.166666666666668,0.3333333333333333,4.333333333333333,0.077,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.6666666666666666,2.6666666666666665,3.3333333333333335,2.3333333333333335,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0,0.6666666666666666,-21,0,0,0022100722,away,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,2022-01-27 03:15,Base Set,Common,1,Jump Shot,2019-12-17 00:00:00+00:00,Detroit Pistons,2981,2302.0,0.0,296.0,383.0,0.0,25.0,30,0.0,-3.23,-6.25,145.0,True,False,False,False,VISIBLE,7baad966-60e3-4a48-bb85-954375c560e1,7b797690-5b53-45a7-b972-bd2d5152654a,https://nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+7baad966-60e3-4a48-bb85-954375c560e1,Base Set,Common,1,Jump Shot,2981,30,0.0,MIL,1610612749,CLE,1610612739,4,,99,115,2022-01-26 19:00:00-05:00,Final,Base Set-Common-1-Jump Shot,Base Set-Common-1-Jump Shot,115-99,16,0
Lindell Wigginton,MIL,CLE,0022100722,1629623,1,1,0,1.0,4.55,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,2.0,-8,0,0,0022100722,away,INACTIVE,1629623.0,28,nan,Bench,-,0,INACTIVE_HEALTH_AND_SAFETY_PROTOCOLS,,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MIL,1610612749,CLE,1610612739,4,,99,115,2022-01-26 19:00:00-05:00,Final,nan,nan,115-99,16,0
Luke Kornet,MIL,CLE,0022100722,1628436,1,1,0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-6,0,0,0022100722,away,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,2022-01-27 03:15,Base Set,Common,1,Dunk,2020-01-26 01:00:00+00:00,Chicago Bulls,3999,3239.0,0.0,387.0,374.0,0.0,25.0,33,0.0,0.0,0.0,213.0,True,False,False,False,VISIBLE,9ec3d149-ba82-4f7a-b9cb-8f5f3c0f8a21,7b797690-5b53-45a7-b972-bd2d5152654a,https://nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+9ec3d149-ba82-4f7a-b9cb-8f5f3c0f8a21,Base Set,Common,1,Dunk,3999,33,0.0,MIL,1610612749,CLE,1610612739,4,,99,115,2022-01-26 19:00:00-05:00,Final,Base Set-Common-1-Dunk,Base Set-Common-1-Dunk,115-99,16,0
Pat Connaughton,MIL,CLE,0022100722,1626192,47,29,18,0.617,27.711702127659574,3.765957446808511,7.9361702127659575,0.475,2.3617021276595747,5.808510638297872,0.407,0.6382978723404256,0.7872340425531915,0.811,0.6808510638297872,3.872340425531915,4.553191489361702,1.3829787234042554,0.6382978723404256,0.9574468085106383,0.2765957446808511,0.19148936170212766,1.3191489361702127,0,10.53191489361702,-2,0,0,0022100722,away,ACTIVE,1626192.0,24,SG,Starter,-,1,nan,nan,1,0,0,7,4,0.5714285714285711,0,1.0,2,0,0,0,0.0,81,32.3015,72,-9,11,3,2,0,5,0,5,0,6,3,0.5,0,1,1,1.0,2022-01-27 03:08,Base Set,Common,2,Assist,2021-03-03 02:00:00+00:00,Milwaukee Bucks,12000,11256.0,0.0,512.0,233.0,0.0,12.0,25,4.17,8.7,-7.41,371.0,True,False,False,False,VISIBLE,dcb0d704-e8b1-4a08-948f-d4c318042aa4,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+dcb0d704-e8b1-4a08-948f-d4c318042aa4,Base Set,Common,2,Assist,12000,25,4.17,MIL,1610612749,CLE,1610612739,4,,99,115,2022-01-26 19:00:00-05:00,Final,Base Set-Common-2-Assist,Base Set-Common-2-Assist,115-99,16,0
Rodney Hood,MIL,CLE,0022100722,203918,36,20,16,0.556,15.37425925925926,1.2222222222222223,3.388888888888889,0.361,0.6666666666666666,2.111111111111111,0.316,0.3611111111111111,0.3888888888888889,0.929,0.3333333333333333,1.4722222222222223,1.8055555555555556,0.8055555555555556,0.19444444444444445,0.3055555555555556,0.08333333333333333,0.0,0.7222222222222222,0,3.4722222222222223,4,0,0,0022100722,away,ACTIVE,203918.0,5,nan,Bench,-,1,nan,nan,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,11,3.966666666666667,7,-4,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MIL,1610612749,CLE,1610612739,4,,99,115,2022-01-26 19:00:00-05:00,Final,nan,nan,115-99,16,0
Sandro Mamukelashvili,MIL,CLE,0022100722,1630572,25,14,11,0.56,11.118266666666665,1.28,3.0,0.427,0.52,1.4,0.371,0.36,0.48,0.75,1.04,1.04,2.08,0.52,0.36,0.28,0.24,0.28,0.68,0,3.44,-118,0,0,0022100722,away,ACTIVE,1630572.0,54,nan,Bench,-,1,nan,nan,0,0,0,0,0,0.0,0,1.0,0,0,0,0,0.0,11,5.05,8,-3,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MIL,1610612749,CLE,1610612739,4,,99,115,2022-01-26 19:00:00-05:00,Final,nan,nan,115-99,16,0
